"","country","year","cpi","dyn_gdp","dyn_gdp_china","dyn_GDP_US","interest_rate_US","oil_yoy","dyn_consum","dyn_fx_rate","diff_priv_credit_gdp","net_lending","public_debt","interest_on_debt","overvaluation","ca_balance","dyn_fix_cap_form","dyn_export_share","diff_unempl","dyn_prod_dol","VIX","GDP_per_cap","developed","crisis_next_year","crisis_next_period","crisis_first_year"
"Estonia.Estonia.534","Estonia",2013,2.78849679593547,1.93654344434879,7.75763514617025,1.67733152992453,2.350833,-4.1011967742475,-2.53637769832459,-3.2602966644078,-3.28670115696379,-0.17,10.161,-0.787324082275367,-28.14979,-0.105,2.44887978514441,4.01342356235659,-1.392,0.324446325292715,14.32,26.2829088374806,1,0,"0",0
"Estonia.Estonia.535","Estonia",2014,-0.144815519467448,2.89071096799094,7.29766595938155,2.37045767146387,2.540833,-10.3921701006973,-2.73114762917855,-0.030109145652979,-1.30004148744881,0.678,10.667,-0.721852442111185,-28.39385,1.03,-8.07654716188274,0.217906525412692,-1.277,2.11192350956131,17.76,27.1136859213723,1,0,"0",0
"Estonia.Estonia.536","Estonia",2015,-0.456766653482528,1.67428662282916,6.90020481672435,2.86158702527266,2.135833,-47.11797687908,-1.16485294460544,19.7386210004506,1.9958058726193,0.103,10.005,-0.949525237381309,-40.087,2.292,-0.453064095127098,-8.03458983891442,-1.166,-0.991435102310589,22.48,27.5495813697378,1,0,"0",0
"Estonia.Estonia.537","Estonia",2016,0.149108977727481,2.06326278488234,6.6893498942918,1.48527919319121,1.841667,-18.0342441910925,-0.82405053626351,0.234890233986818,1.6788457725478,0.269,9.406,-0.754837337869445,-40.00602,1.897,-1.96755800921075,6.27264888009469,0.58,1.27395621818587,14.07,28.0950626476917,1,0,"0",0
"Finland.Finland.562","Finland",1992,2.6019734774684,-3.32462938005391,14.2161635832521,3.55539614766758,7.01,-6.23476076426503,0.720324112175552,10.7681275146694,-3.86329626277499,-4.877,39.255,-5.05413323143549,-78.6357223224332,-4.52,-16.198905839968,-6.08359743027429,5.1,4.09847402148356,12.96,26.0020799527475,1,0,"0",0
"Finland.Finland.563","Finland",1993,2.10107197549746,-0.734493304174322,13.8675760159137,2.74585671892276,5.873333,-14.7120729439817,-2.33829476783429,27.5224507230071,-8.09022174734289,-8.079,54.108,-0.815036593479705,-83.3341843247383,-1.261,-12.897404596359,0.393247385235629,4.7,5.59492175966931,11.28,25.6865100224016,1,0,"0",0
"Finland.Finland.564","Finland",1994,1.08591312694959,3.93926094970596,13.0521587222365,4.03764342486481,7.08,-9.12827965847166,-4.24496543267057,-8.55662132098185,-11.5974443954403,-6.398,56.118,1.75166613207883,-81.8321483867417,1.059,3.12595210529523,13.6591396113651,0.199999999999999,4.99510694813365,14.09,26.583533331846,1,0,"0",0
"Finland.Finland.565","Finland",1995,0.985221674877336,4.20713067270178,10.9492273730684,2.71897578878193,6.58,4.6177298548169,-7.53286571072043,-16.4036332512525,-7.2153448007493,-5.97,55.147,1.39989482655448,-77.8091603053435,4.111,12.242968565351,15.1428280203753,-1.2,5.69750875464363,13.39,27.5964128931831,1,0,"0",0
"Finland.Finland.566","Finland",1996,0.616615282060184,3.65883306320907,9.92837246319103,3.79588122942587,6.438334,17.9766104771473,0.827213702231933,5.19580152671748,-2.582645790276,-3.368,55.318,2.44405076105427,-79.3188274863667,3.8,10.170562223626,-4.46131792978957,-0.9,2.60890378171375,21.540001,28.5124344000172,1,0,"0",0
"Finland.Finland.567","Finland",1997,1.19503105590059,6.25180784114452,9.23076923076909,4.4870264931673,6.3525,-9.69662519331346,-4.20315093462664,13.0157503455933,-6.2069289180461,-1.326,52.248,3.29581993569132,-81.6235780665654,5.066,13.0925076452599,-3.4189045852812,-1.9,3.55665230255484,24.34,30.2050204371741,1,0,"0",0
